pm25;no2;trafico;viento;contaminacion;alerta
73.61;31.07;38.60;4.24;114.43;False
47.44;22.29;66.58;3.18;166.47;False
63.47;60.26;46.17;4.02;153.76;False
56.78;40.42;80.38;5.57;157.88;False
56.62;47.95;57.15;4.34;152.36;False
61.38;38.76;52.28;4.95;143.31;False
13.69;65.68;69.59;3.87;100.16;False
65.65;55.83;76.21;4.20;164.48;True
49.53;40.03;64.75;3.21;133.80;False
37.22;47.96;46.57;3.38;167.09;False
57.64;56.09;41.80;3.17;179.19;True
30.08;56.63;45.00;3.20;107.61;False
39.96;50.87;69.55;1.93;128.54;False
65.44;45.67;67.26;2.69;139.18;True
73.48;66.95;47.48;6.09;163.65;False
74.94;52.70;63.30;3.18;170.58;True
67.73;40.09;;2.17;213.93;
83.82;59.32;33.74;4.10;;True
51.58;27.18;;4.28;142.53;False
52.02;49.99;80.74;2.16;153.89;True
5.21;69.38;64.35;1.10;103.55;False
23.52;44.16;115.50;4.09;134.25;True
40.97;18.29;14.73;3.02;68.76;False
-2.84;22.24;74.03;0.73;109.82;False
30.77;62.58;27.58;4.31;80.18;False
54.58;54.99;22.82;1.61;121.04;False
57.21;29.32;51.30;5.02;84.97;False
51.36;33.74;67.71;1.13;133.76;False
;116.13;112.03;3.58;354.42;False
70.20;20.37;69.38;4.67;168.28;False
63.54;68.33;55.17;1.73;131.30;False
20.97;39.84;52.64;3.28;130.37;False
37.93;48.26;53.48;;114.58;False
14.21;59.63;22.35;3.76;73.86;False
72.47;25.42;71.41;2.41;154.54;True
61.83;10.70;62.36;2.64;108.25;False
69.47;60.20;69.15;2.09;180.73;True
29.71;25.59;53.21;2.23;108.21;False
61.81;41.51;100.36;3.05;168.52;True
47.49;23.88;53.89;2.87;103.64;False
74.67;37.92;48.08;2.92;119.60;False
45.00;48.07;44.79;3.97;180.03;True
22.58;47.01;84.40;2.45;142.77;False
35.58;27.28;32.51;3.42;117.76;False
30.63;31.08;;2.84;148.28;False
71.81;53.50;61.96;;169.90;True
63.98;36.57;108.18;3.89;202.38;True
111.67;58.33;195.08;4.36;459.45;True
88.56;67.75;86.32;4.96;221.22;True
44.59;52.27;24.60;4.67;116.64;False
69.46;8.61;45.87;1.91;99.30;False
86.15;46.47;77.92;3.06;213.25;True
82.86;38.88;65.83;1.45;193.03;True
30.60;44.02;38.89;3.61;115.80;False
45.61;3.06;57.75;1.24;109.18;False
37.58;44.44;54.46;3.68;157.56;False
55.98;56.45;36.09;5.24;129.27;False
57.39;16.06;40.53;3.73;126.42;False
73.81;69.16;75.87;2.59;210.48;True
44.27;21.83;69.60;3.71;129.33;False
101.04;107.72;133.47;4.50;291.99;False
48.51;47.89;39.65;1.84;135.08;False
126.17;91.44;47.91;3.28;279.86;False
53.28;32.29;82.95;2.74;144.35;False
25.40;36.85;58.20;2.47;143.43;False
67.02;21.03;49.71;4.44;114.36;False
96.76;28.21;43.37;3.48;199.93;True
51.77;61.39;56.10;3.56;145.97;False
24.66;23.09;77.81;3.53;106.36;False
54.51;64.58;87.77;3.80;170.04;True
68.15;56.98;49.01;4.71;139.90;False
35.66;20.48;84.95;2.39;106.53;False
40.02;46.90;84.53;1.92;139.55;True
49.20;39.92;62.04;3.52;146.69;False
6.26;24.62;41.24;3.41;65.97;False
45.28;31.08;92.22;1.76;156.74;True
59.27;44.82;55.32;4.39;163.71;False
79.13;-10.47;68.56;2.99;165.98;False
42.06;24.10;93.49;1.30;145.49;False
39.05;40.84;84.09;1.64;127.17;False
51.35;40.30;48.98;2.92;139.54;False
42.92;-1.50;56.46;1.85;115.87;False
104.30;70.86;168.93;4.69;354.83;False
62.48;33.92;55.14;0.08;146.50;True
38.36;0.95;40.57;2.37;79.50;False
101.95;47.31;22.99;2.03;144.16;False
66.30;56.71;81.00;2.17;178.51;True
36.56;43.61;49.41;1.89;150.40;False
20.29;20.92;89.75;2.67;95.04;False
26.12;23.84;40.77;3.16;136.87;False
36.58;23.66;77.66;3.66;97.33;False
61.70;45.24;74.57;4.48;136.21;False
101.06;;195.20;3.73;356.26;True
42.99;38.89;63.56;3.13;139.00;False
73.27;77.10;88.94;5.69;268.50;False
67.94;44.74;31.19;4.72;99.35;False
33.70;59.42;74.10;3.72;112.61;False
101.90;75.39;166.06;4.39;398.55;True
70.53;46.98;56.61;0.60;197.14;True
53.55;44.94;44.30;1.29;157.19;False
22.50;23.84;97.93;4.64;157.53;False
;4.21;76.67;1.61;95.65;False
43.22;32.62;61.75;1.43;90.99;False
35.10;6.02;32.19;2.40;90.80;False
56.08;33.92;89.47;4.11;169.36;True
8.30;34.01;48.38;2.41;105.81;False
43.84;47.30;38.90;1.07;76.87;False
4.10;28.16;39.86;2.10;61.87;False
31.96;25.46;68.95;3.29;109.65;False
13.09;59.73;48.10;1.68;106.62;False
99.62;146.79;111.37;3.12;333.99;True
35.00;48.17;94.68;4.19;155.95;True
74.15;53.25;67.42;3.81;210.86;True
69.52;39.60;83.55;2.32;180.92;True
69.44;40.15;74.85;3.17;154.33;False
51.70;6.33;37.55;5.28;51.16;False
30.07;25.32;67.98;0.70;77.26;False
88.20;69.13;80.02;2.25;190.85;True
62.74;47.97;94.02;2.75;;True
86.82;56.25;69.52;2.99;;True
59.86;36.61;85.40;2.35;159.19;True
37.81;23.96;70.16;2.36;130.93;False
65.51;12.70;30.22;2.29;125.21;False
66.55;56.01;50.46;3.27;144.94;True
10.32;57.49;44.53;3.11;143.85;False
86.26;69.56;76.22;1.25;221.60;True
60.35;47.67;43.37;0.71;140.89;False
88.60;55.94;68.08;3.78;143.50;False
58.72;18.13;35.82;3.59;153.56;False
61.09;78.24;46.48;1.61;163.06;True
50.54;44.90;69.69;3.22;120.90;False
48.07;69.82;7.82;1.22;92.00;False
54.13;30.22;42.37;3.38;141.96;False
37.46;46.05;55.78;3.85;183.55;True
89.59;75.79;199.92;2.76;404.19;True
64.16;43.94;46.86;4.03;147.88;False
72.00;42.58;36.15;2.97;133.05;False
103.00;31.09;46.67;2.67;224.18;True
48.08;47.27;33.97;3.01;73.15;False
37.27;13.92;47.65;2.91;98.94;False
68.03;42.07;50.35;2.54;168.30;True
54.25;50.93;69.68;0.87;143.68;True
39.67;65.82;56.50;2.26;149.87;True
52.87;60.13;80.52;1.76;187.08;True
22.63;51.68;97.97;4.91;158.43;False
73.78;56.68;97.10;2.39;217.48;True
51.49;33.22;70.50;2.87;135.56;True
36.77;47.20;14.92;1.25;95.84;False
39.36;63.72;80.34;3.90;129.40;False
43.11;83.74;;3.15;207.40;False
48.91;58.25;41.40;3.18;132.58;False
83.28;29.20;49.11;1.08;107.54;False
24.43;50.18;80.79;5.24;146.66;False
66.82;34.96;60.37;5.30;128.96;False
72.42;28.99;16.68;3.13;80.55;False
