horas;asistencia;tareas;retrasos;planificacion;nota_final;aprobado
3.48;77.00;86.42;1.08;2.85;4.12;True
4.57;64.95;84.49;3.36;4.76;5.26;True
2.89;61.55;99.66;1.25;1.84;3.69;False
4.23;62.68;80.06;3.26;1.88;;True
5.02;68.78;62.52;1.07;3.12;3.35;
12.13;190.76;188.73;6.42;11.87;17.07;True
3.28;64.51;80.94;2.15;2.24;4.15;True
3.92;72.52;78.91;2.17;3.04;4.21;True
4.70;88.06;102.92;6.99;3.52;5.75;True
5.43;56.66;80.95;1.31;3.86;3.71;True
4.44;69.41;101.09;2.24;2.46;4.29;True
4.29;71.70;83.24;1.36;2.02;3.91;True
4.23;71.36;83.32;0.40;3.10;5.40;True
2.21;76.90;69.07;1.82;2.78;4.25;True
4.47;77.16;73.73;2.41;2.94;5.08;True
4.33;81.36;78.58;1.66;2.31;3.60;True
3.38;80.72;100.30;5.14;2.56;3.33;False
5.90;67.81;81.39;1.29;3.67;4.92;True
4.47;78.41;100.37;-0.11;1.77;4.28;True
2.38;96.51;72.11;3.98;2.77;4.16;False
4.67;77.23;71.66;1.70;3.29;4.96;True
3.08;86.86;104.73;2.96;3.38;3.90;False
3.78;67.89;81.97;1.49;3.04;3.88;True
2.29;74.08;96.02;1.22;1.11;5.34;True
2.75;88.03;;0.89;3.16;4.32;True
4.18;88.96;76.81;3.69;3.53;3.95;True
4.07;76.93;87.70;1.16;3.12;4.09;False
12.92;129.82;155.81;0.87;5.74;12.15;True
3.77;157.98;164.62;18.65;6.95;3.26;False
2.66;78.93;96.64;1.29;2.88;3.94;False
10.00;142.08;157.10;3.64;8.41;10.03;True
4.18;63.24;74.97;1.93;4.50;2.94;False
4.06;64.75;82.53;-0.55;3.11;3.57;False
11.16;141.52;208.34;2.57;7.25;12.11;True
2.38;63.66;104.27;2.41;2.61;5.23;True
3.82;74.47;85.17;2.55;3.81;4.11;True
3.11;73.24;84.59;2.27;3.08;4.81;True
4.25;83.43;77.33;1.09;3.83;5.04;True
5.13;67.60;90.97;1.28;2.82;4.49;True
3.25;93.89;90.00;2.30;;4.60;True
3.51;82.26;76.16;5.78;2.92;1.80;False
2.55;57.93;90.30;1.38;3.38;4.91;True
4.49;75.31;94.33;2.91;2.87;4.44;True
4.69;66.66;103.74;5.16;2.84;4.43;False
5.45;72.34;73.45;4.41;3.14;2.74;False
3.81;83.30;84.23;3.48;3.11;3.64;False
2.25;79.77;81.73;2.57;2.90;2.70;False
3.56;57.77;81.19;1.67;3.27;4.76;True
5.47;129.45;197.15;-4.69;;11.22;True
4.35;81.03;74.96;2.10;4.73;3.41;True
4.52;78.62;83.04;4.07;3.41;4.53;True
4.06;72.99;80.95;2.52;3.94;4.65;True
5.07;55.11;85.24;-1.53;3.11;4.41;True
5.07;63.29;81.56;3.98;2.42;3.27;False
5.86;82.00;101.44;2.78;3.51;4.35;True
4.15;64.22;84.12;4.29;3.59;4.89;False
2.76;69.81;98.98;3.02;0.91;3.88;False
3.08;78.48;84.21;-0.67;4.04;3.32;False
5.55;76.02;77.01;1.21;3.59;4.65;True
3.94;86.20;84.18;1.13;2.22;4.73;True
5.87;70.44;94.62;2.96;3.54;3.90;False
2.46;70.08;79.99;4.61;3.46;3.37;False
6.77;85.26;87.12;2.32;3.26;5.20;True
4.87;73.38;86.71;1.46;2.88;3.73;True
2.89;68.33;83.85;3.18;3.44;3.50;False
3.63;85.20;72.06;3.07;2.94;4.45;False
4.99;72.24;80.52;-1.20;4.09;3.93;True
2.33;71.38;88.92;5.70;3.41;2.11;False
3.08;76.73;61.70;2.04;3.33;3.08;False
4.54;;80.75;;2.21;3.64;False
2.28;67.36;88.57;2.23;2.67;2.94;False
4.13;61.44;98.60;3.06;3.41;5.04;True
5.46;91.19;86.67;1.25;2.15;5.36;True
4.98;79.59;86.10;5.12;3.04;3.55;False
2.92;87.71;85.86;1.98;2.24;4.26;True
4.23;73.64;69.32;2.11;2.23;4.77;True
5.15;85.72;81.57;0.74;2.83;4.36;True
4.08;73.88;82.99;-0.30;3.47;5.27;True
4.64;65.65;85.60;1.07;3.23;5.19;True
2.19;81.84;80.95;-0.45;2.28;4.26;True
2.88;70.60;87.80;0.73;4.66;4.36;True
6.06;89.87;68.09;1.49;2.58;4.17;True
5.18;75.68;88.19;0.40;3.20;4.62;True
2.33;85.14;83.31;2.77;3.13;3.38;False
3.32;65.54;100.87;2.03;3.66;;True
5.55;76.37;91.64;2.78;1.60;5.66;True
3.05;67.56;74.33;4.17;3.32;3.50;False
3.33;50.37;72.91;3.76;3.10;3.64;False
4.62;61.44;90.85;5.58;3.38;3.68;False
10.00;152.44;234.14;-0.83;9.57;13.39;True
4.12;90.98;95.24;2.33;4.41;4.55;True
3.04;74.70;70.72;2.78;2.42;3.64;False
9.50;178.58;158.30;2.87;5.70;10.10;False
3.12;85.36;97.43;2.26;2.61;2.95;False
3.15;94.17;79.50;2.56;2.29;4.02;True
3.94;75.44;94.33;-0.82;3.43;4.63;True
3.84;82.18;75.04;3.75;2.26;3.39;False
4.88;70.40;82.57;3.36;3.64;3.98;True
3.34;73.92;92.50;1.51;1.50;3.67;True
2.21;65.29;102.00;5.85;2.87;3.07;False
3.61;98.74;95.53;6.25;3.40;3.79;False
5.74;60.78;84.78;-0.44;3.77;4.13;True
3.55;79.86;79.74;4.23;3.59;5.11;True
3.88;58.65;86.13;2.86;1.73;2.59;False
2.72;67.19;103.29;1.02;3.21;3.32;False
4.13;87.21;103.28;3.35;2.25;4.31;True
3.87;64.11;89.44;-0.70;3.55;4.57;True
3.65;79.96;83.85;5.84;2.91;4.60;True
2.80;96.36;96.43;2.94;4.49;4.36;True
4.07;73.52;82.22;0.54;4.63;5.13;True
4.15;85.44;80.11;-0.33;2.91;4.22;True
3.18;74.05;87.31;1.90;2.86;5.34;True
4.55;76.16;88.28;1.59;1.82;3.84;True
3.79;84.54;78.38;2.81;1.60;3.38;False
2.03;70.39;97.78;1.47;3.22;3.86;False
4.85;66.42;79.79;1.49;2.60;4.79;True
3.78;86.54;80.90;2.08;3.12;4.25;True
4.75;80.23;68.86;3.80;2.27;4.83;True
4.72;78.44;79.86;-0.51;3.16;3.90;False
2.48;76.01;89.91;3.04;0.92;3.36;False
3.72;74.90;76.34;4.15;2.99;4.14;True
4.89;63.71;83.51;2.37;3.26;4.12;True
3.58;68.03;92.38;5.09;4.00;4.44;True
5.86;77.69;83.51;-0.67;3.18;5.27;True
2.34;66.83;99.05;4.67;4.16;3.34;False
4.42;82.59;84.82;2.78;2.39;3.98;False
3.26;62.99;89.91;2.43;3.23;3.64;False
5.33;82.06;73.56;1.33;2.40;4.29;True
2.99;99.55;75.94;3.36;4.60;4.18;True
3.65;72.66;88.16;1.77;3.10;3.51;False
4.80;67.74;84.81;3.66;2.87;3.96;True
2.64;83.16;93.63;3.50;3.39;3.18;False
3.20;83.76;89.08;1.75;3.54;4.29;True
3.88;60.65;87.34;4.21;3.00;5.08;True
3.85;56.50;99.86;0.65;3.82;4.56;True
4.06;67.55;88.61;0.37;2.06;4.11;False
9.06;153.46;170.17;6.77;8.36;9.55;False
7.99;168.83;171.46;2.98;8.28;13.22;True
2.42;87.26;93.01;3.42;2.11;3.49;False
3.04;78.03;83.38;2.99;3.27;4.39;True
2.92;73.58;85.08;1.81;2.66;5.37;True
4.87;54.27;79.01;-1.76;2.20;5.19;True
3.91;84.64;91.11;3.15;3.62;3.87;False
2.96;98.69;89.95;0.81;2.87;4.49;True
2.85;80.49;87.45;0.75;3.06;5.26;True
4.37;75.36;78.94;;3.10;5.19;True
5.28;71.81;72.97;1.03;3.60;4.92;True
1.73;75.83;69.11;2.45;1.23;3.08;False
3.59;91.12;77.38;2.09;2.77;4.47;True
4.69;62.28;84.41;3.45;2.28;4.62;True
4.08;63.90;100.13;6.71;4.18;4.37;False
8.44;152.04;210.09;-3.27;7.67;12.34;True
2.42;69.98;80.11;3.64;2.63;3.29;False
5.00;86.46;80.13;2.57;2.64;4.20;True
1.42;71.50;85.85;0.71;4.15;4.30;True
8.37;136.21;173.03;;7.94;8.59;False
3.13;72.41;85.81;0.29;3.33;5.01;True
2.89;75.54;107.34;-0.22;3.28;4.88;True
5.04;50.53;102.49;1.41;3.91;5.83;True
3.69;82.35;91.55;5.52;3.03;3.00;False
4.55;85.94;69.41;1.03;3.31;4.80;True
3.09;75.98;92.68;5.83;2.45;2.85;False
4.61;82.73;74.12;3.29;4.17;3.81;False
3.68;83.43;91.63;1.24;3.22;4.63;True
5.21;63.31;76.65;1.26;2.46;5.08;True
4.03;81.17;72.51;1.93;1.99;2.27;False
4.33;100.46;81.39;1.58;3.43;3.95;False
5.08;78.68;77.82;2.71;1.50;3.67;False
4.42;83.24;92.37;4.15;2.69;4.62;True
4.92;71.06;86.97;3.41;2.79;4.79;True
1.60;71.31;68.69;0.43;2.96;2.56;False
4.95;75.68;83.46;2.37;2.91;3.71;False
3.01;65.29;88.81;4.52;2.51;3.26;False
