viajes;distancia;tiempo;modo_transporte;congestion;alta_congestion
3.61;20.65;65.29;bicicleta;973.63;True
2.79;14.07;81.36;bus;1228.65;True
2.23;27.85;80.52;bicicleta;1898.19;True
3.38;4.44;10.53;caminar;-276.08;False
3.28;29.75;51.65;bus;1456.35;True
2.23;23.05;36.65;bus;1348.30;True
2.94;11.34;49.45;caminar;447.61;False
3.15;8.46;7.97;bicicleta;26.05;False
2.99;35.89;31.67;auto;1151.89;True
3.20;0.12;92.15;caminar;459.90;False
1.96;16.38;27.43;bus;-79.90;False
3.93;23.63;9.69;bicicleta;49.37;False
3.35;14.40;96.14;bicicleta;1810.47;True
0.95;21.24;82.82;auto;1565.53;True
2.95;14.56;103.36;bus;2916.45;True
4.71;1.06;47.43;caminar;671.84;False
3.14;14.49;55.91;bus;347.77;False
6.66;-1.82;25.99;bicicleta;207.96;False
4.86;32.95;51.59;auto;1732.93;True
2.58;9.98;52.21;caminar;236.84;False
2.51;18.23;47.30;bicicleta;820.85;True
1.93;22.23;40.87;bus;873.11;True
2.94;5.69;40.37;bicicleta;924.93;False
4.06;25.05;60.57;bicicleta;1274.94;True
2.41;8.98;52.74;bicicleta;726.75;False
3.31;36.94;40.54;auto;969.33;
2.75;25.07;61.74;bicicleta;1016.42;True
;10.61;33.68;bicicleta;222.17;False
4.88;-17.50;28.46;caminar;-429.23;False
2.75;7.61;72.34;bus;1281.23;True
3.89;20.93;69.39;bus;1706.13;True
3.60;10.37;52.27;bicicleta;1011.68;True
1.55;-0.76;69.95;bicicleta;-1.28;False
2.37;6.14;89.42;;912.97;False
2.12;18.09;37.48;bicicleta;126.25;False
1.99;40.92;63.08;auto;2225.54;True
3.04;-31.20;16.13;bicicleta;-458.47;False
3.87;5.47;15.55;caminar;-125.44;False
2.81;17.81;62.77;bicicleta;535.04;False
2.69;19.51;36.37;bicicleta;1092.77;True
2.13;15.25;58.25;bus;722.93;False
8.47;2.74;43.57;bus;-152.00;False
2.61;4.63;57.86;bus;335.63;False
3.03;5.66;57.79;bicicleta;753.95;False
4.43;14.41;36.62;bicicleta;877.29;False
0.83;35.60;35.23;bus;1681.48;True
3.71;3.97;24.68;bicicleta;133.19;False
1.87;22.14;14.97;bus;659.58;False
2.24;3.99;40.94;caminar;294.54;False
2.14;32.07;14.11;bus;229.24;False
0.20;7.71;36.88;bicicleta;585.92;False
4.77;6.47;12.91;bicicleta;292.84;False
1.79;21.56;40.19;bicicleta;1238.21;True
2.23;20.08;13.84;bus;390.79;False
5.40;61.57;66.56;auto;2219.19;True
2.66;13.71;35.39;bus;461.48;False
4.05;19.85;41.50;bicicleta;368.73;False
2.66;11.17;73.50;caminar;247.77;False
1.25;11.32;43.26;bicicleta;158.54;False
3.23;6.57;54.27;bicicleta;-128.92;False
3.42;35.61;42.42;auto;1657.84;True
1.82;11.03;;bicicleta;1105.55;True
3.15;-0.02;38.66;bicicleta;141.04;False
3.30;2.02;93.91;bicicleta;795.60;False
1.80;12.45;4.68;bicicleta;-51.22;False
3.56;21.33;25.02;bus;618.09;True
