horas;asistencia;tareas;retrasos;planificacion;nota_final;aprobado
4.19;77.55;98.58;4.11;4.22;5.41;True
4.15;96.64;78.23;;2.57;4.44;True
4.89;70.15;86.66;-0.31;2.93;3.85;True
6.05;82.68;76.06;4.30;3.86;5.19;True
3.18;69.85;100.03;1.43;2.53;5.00;True
2.63;70.17;89.03;2.69;2.64;3.86;True
6.00;61.39;87.95;2.30;3.81;5.08;True
4.36;72.99;91.10;5.36;4.19;2.97;False
2.54;72.50;90.21;0.24;3.76;4.00;True
4.61;69.16;82.04;1.82;2.32;4.11;True
3.93;70.06;99.64;2.22;4.19;3.97;True
3.47;68.73;91.81;2.49;2.53;4.70;True
4.02;79.63;101.76;-1.00;2.97;5.34;True
3.79;160.32;166.66;2.55;9.44;8.68;False
3.95;190.56;203.25;6.28;9.76;10.86;True
2.78;82.17;90.52;2.60;3.63;4.93;True
2.64;71.00;81.11;2.93;3.41;3.65;False
4.57;69.59;82.67;2.39;2.97;5.05;True
3.25;73.11;81.80;0.54;3.04;3.96;False
2.67;85.93;91.34;3.47;2.87;4.75;True
4.98;58.43;98.33;1.70;0.60;4.09;True
3.69;72.89;77.82;0.99;2.92;4.85;True
3.00;69.18;85.46;2.57;3.03;4.41;True
2.66;91.45;100.94;-1.12;2.27;4.44;True
4.16;69.78;97.89;1.59;3.26;4.09;True
3.39;56.67;89.86;2.30;2.51;3.51;
4.83;159.72;193.65;3.85;10.64;10.78;True
4.54;76.51;84.91;0.61;3.67;4.82;True
4.01;78.62;89.94;0.66;3.17;5.62;True
3.49;60.62;72.72;-1.07;2.42;4.82;True
3.06;82.53;79.73;0.41;2.88;4.32;True
4.89;63.45;69.80;1.18;2.32;3.42;True
4.04;70.25;81.43;0.70;3.34;4.59;True
3.94;69.86;97.94;3.47;2.35;2.54;False
4.96;68.03;76.81;-0.17;2.03;4.56;True
2.77;71.13;104.39;4.45;3.74;4.69;True
4.37;71.27;66.33;1.90;3.45;4.60;True
2.03;69.75;73.73;2.44;2.62;3.27;False
2.27;88.78;90.64;0.20;3.28;4.04;True
4.60;67.80;97.41;1.30;2.06;5.24;True
4.85;83.06;;2.86;3.22;5.08;True
4.18;66.12;81.67;0.41;3.46;5.37;True
;81.72;89.81;2.79;3.20;4.08;True
4.34;79.66;83.34;1.61;3.29;4.56;True
2.85;44.80;88.47;1.04;2.71;3.80;False
3.01;71.58;97.86;4.52;2.29;4.17;False
4.03;80.12;91.60;2.93;3.52;4.05;True
4.81;70.41;64.31;4.86;2.42;3.72;False
7.47;179.90;219.35;3.35;7.89;13.66;True
1.86;63.68;98.90;1.50;1.62;3.87;True
3.46;65.98;67.02;1.71;2.77;3.54;False
7.25;182.09;197.82;13.45;5.91;11.96;True
2.42;83.75;89.82;0.94;2.98;5.18;True
4.01;72.82;93.68;-0.91;2.71;4.88;True
4.01;78.04;73.96;2.44;2.97;3.87;True
4.89;72.66;62.24;0.06;3.58;5.08;True
3.09;80.36;86.15;4.54;3.18;3.04;False
3.53;63.28;98.20;2.47;2.30;4.32;True
3.82;84.61;81.90;3.74;2.32;3.39;False
4.40;75.55;76.35;2.43;3.01;5.05;True
3.75;74.09;106.63;6.16;2.61;2.63;False
3.54;96.75;54.97;2.30;2.96;4.35;True
5.75;203.38;213.29;3.32;6.12;9.73;False
2.37;72.65;64.32;1.98;2.78;3.63;False
4.90;94.39;70.82;0.56;2.06;4.91;True
6.00;73.88;72.94;6.65;3.16;3.32;False
4.22;57.11;70.71;2.13;2.84;4.56;True
4.80;62.81;94.59;2.33;1.72;3.84;False
4.49;49.04;79.74;-1.08;2.82;5.15;True
3.24;70.47;89.80;3.34;2.40;3.86;False
4.37;81.08;83.77;2.95;2.88;3.30;False
5.38;84.30;83.39;2.88;2.37;4.42;True
3.88;73.11;88.22;3.06;4.50;4.67;True
5.67;73.43;62.32;3.55;1.66;3.07;False
0.89;78.48;84.61;2.50;2.93;3.02;False
4.32;49.01;83.80;1.20;2.98;4.67;True
3.41;75.28;72.00;1.85;3.23;4.08;True
2.92;76.03;80.43;2.78;4.80;3.35;False
3.49;55.45;92.96;3.62;3.10;4.67;True
2.09;89.88;89.93;3.40;2.94;3.53;False
3.34;71.99;80.19;1.82;3.35;3.98;True
4.61;63.03;73.45;3.78;1.80;4.65;
5.49;78.25;78.05;1.91;2.13;4.66;
2.52;101.29;109.06;-0.61;2.29;5.61;True
3.51;75.86;96.03;3.45;4.60;4.68;True
3.90;75.21;87.18;2.30;2.53;3.94;False
4.43;70.62;99.12;1.80;3.31;3.99;True
4.53;57.97;77.72;3.89;3.06;4.64;True
3.05;85.72;85.74;1.42;4.29;4.98;True
4.56;68.31;78.98;1.14;2.48;4.09;False
3.48;73.71;85.84;3.53;3.42;4.33;False
4.09;75.14;83.38;2.81;3.81;4.83;True
3.11;74.28;98.95;2.91;3.05;4.72;False
3.61;83.85;81.10;0.84;3.32;3.76;False
3.41;86.13;95.50;1.86;2.83;5.38;True
1.96;68.25;82.78;1.39;1.56;4.76;True
