viajes;distancia;tiempo;modo_transporte;congestion;alta_congestion
2.91;25.96;52.07;auto;1226.82;True
1.16;3.45;30.84;caminar;-663.10;False
4.25;22.43;32.05;bus;954.27;False
2.33;8.78;83.06;caminar;1026.28;False
;23.14;26.13;bus;438.93;False
4.38;3.54;37.82;bus;449.19;False
5.84;41.71;88.68;bus;1352.61;False
0.64;8.79;66.19;caminar;680.76;False
3.45;-8.69;70.64;caminar;-362.68;False
2.40;21.43;85.84;bicicleta;1312.40;True
3.53;1.71;65.40;bicicleta;34.95;False
3.55;31.37;70.02;bus;2045.12;True
4.22;11.13;72.79;bus;1147.04;True
4.45;21.40;26.07;;88.43;False
2.53;15.26;51.48;bicicleta;843.58;False
2.92;12.98;45.14;bus;1205.26;False
3.38;-9.50;51.60;caminar;-797.75;False
4.03;20.06;43.89;bus;601.10;True
1.61;3.54;29.09;bicicleta;-21.91;False
4.92;24.46;23.60;bicicleta;304.15;False
1.91;6.61;41.10;bicicleta;650.07;False
0.73;23.38;56.65;bicicleta;843.33;True
2.48;18.37;55.77;bus;933.98;True
2.22;7.84;19.07;caminar;-97.55;False
4.08;30.60;77.61;auto;2092.17;True
5.17;7.82;16.31;bicicleta;136.57;False
2.31;11.16;40.70;caminar;182.74;False
3.95;21.66;49.63;caminar;1884.10;True
2.80;12.25;1.81;caminar;-286.67;False
2.56;7.75;48.48;bicicleta;719.13;False
2.47;22.33;25.20;auto;982.32;True
11.21;36.32;143.31;bicicleta;2111.94;True
1.96;29.17;56.84;bicicleta;710.77;True
3.66;9.08;80.06;bus;1281.37;True
3.61;3.14;52.54;bicicleta;640.89;False
4.24;8.28;49.34;bus;540.21;False
7.72;-36.86;153.86;caminar;-831.43;False
4.52;28.07;17.96;bus;793.97;False
3.45;29.91;18.53;bus;488.40;False
2.68;-0.70;54.27;bicicleta;452.12;False
2.61;15.14;46.74;bus;1651.66;True
2.37;-17.21;34.20;bicicleta;-696.31;False
2.96;31.49;40.81;bus;1797.53;True
3.65;;39.16;caminar;157.82;False
3.51;14.10;49.68;caminar;163.09;False
2.44;30.65;54.93;bus;855.01;True
2.37;15.94;56.62;bus;1283.07;True
2.26;-4.60;16.48;caminar;-117.79;False
4.20;18.34;46.18;bus;754.00;False
0.57;18.00;76.71;bus;1489.43;True
2.67;6.34;82.85;caminar;465.55;False
0.61;21.53;37.91;bicicleta;530.08;True
2.05;3.58;66.41;caminar;76.12;False
5.03;23.48;61.90;bus;1082.80;True
6.61;0.02;76.29;bicicleta;24.69;False
2.88;7.31;15.66;bicicleta;185.82;False
2.86;3.69;23.32;caminar;-674.15;False
3.79;22.26;32.70;bicicleta;1193.54;True
;34.33;26.19;auto;925.94;True
3.01;27.04;-3.25;bus;993.52;True
1.96;8.49;67.43;bus;433.39;False
2.66;0.58;77.66;caminar;393.38;False
3.84;28.54;67.44;auto;2462.56;True
0.45;17.60;13.40;bus;115.46;False
1.31;11.27;38.46;bicicleta;64.72;False
3.31;6.74;66.47;bicicleta;460.30;False
5.73;19.01;11.79;bus;-463.23;False
2.14;29.88;101.75;auto;1952.00;True
3.28;1.84;42.72;caminar;341.50;False
2.77;37.37;18.73;bus;802.53;True
2.87;13.35;59.13;bus;747.72;False
5.35;57.80;;auto;2335.15;True
2.89;17.17;38.20;bicicleta;570.11;False
3.71;19.75;89.42;bus;1875.21;True
2.18;6.64;47.54;caminar;406.79;False
1.70;15.95;46.19;bus;749.07;True
5.07;15.67;23.56;bus;729.44;False
2.25;-1.01;63.29;caminar;61.67;False
1.59;18.83;33.54;auto;1234.25;True
0.93;-6.90;39.39;caminar;165.46;False
3.02;29.44;34.95;bus;1462.72;True
5.42;2.77;71.93;bus;880.63;False
2.96;19.79;82.50;bicicleta;806.50;True
2.80;20.50;31.30;bus;1140.94;True
3.77;13.96;37.89;bicicleta;73.52;False
1.42;8.60;22.63;bicicleta;-141.10;False
5.65;15.79;49.63;bicicleta;944.48;False
2.65;5.09;46.44;caminar;457.10;False
3.02;21.12;79.62;bicicleta;1080.48;True
2.34;13.59;-9.76;bicicleta;242.60;False
1.59;-5.81;51.22;caminar;227.31;False
3.76;10.61;29.91;caminar;-151.19;False
1.95;8.72;43.18;bus;1027.15;False
2.73;14.19;70.33;bus;1066.51;True
0.93;3.60;47.11;bicicleta;-66.30;False
0.93;21.31;58.77;bus;1114.82;True
2.28;10.78;54.99;bicicleta;551.00;True
1.06;21.17;65.78;bus;824.68;True
6.01;30.84;5.53;bicicleta;230.99;False
2.74;7.41;53.94;bicicleta;1080.02;True
3.00;6.74;25.42;caminar;395.57;False
1.98;28.75;-18.32;auto;-118.14;False
2.09;;11.15;auto;664.66;False
2.89;24.53;75.56;bicicleta;2331.64;True
3.62;24.90;38.36;caminar;1238.39;True
1.33;0.74;65.48;bicicleta;1025.01;True
2.48;16.02;88.67;;951.12;False
3.87;16.89;41.78;bicicleta;859.30;False
