frecuencia;gasto;visitas;devoluciones;satisfaccion_cliente;valor_cliente;cliente_premium
3.44;70.33;44.21;2.03;1.09;46.01;False
5.46;15.47;14.82;2.28;0.99;175.35;False
8.68;36.23;35.20;3.02;0.98;111.73;False
3.43;27.49;78.55;0.72;3.16;45.76;False
4.15;50.56;31.78;5.43;1.38;231.42;False
9.77;107.12;60.35;3.68;1.05;1052.08;True
4.68;84.52;-6.61;0.33;1.42;401.57;True
8.07;57.32;12.66;4.80;1.41;352.87;True
5.37;48.71;72.54;0.59;2.75;60.50;False
6.47;87.94;9.23;1.39;0.45;303.76;False
8.18;75.62;17.48;2.27;1.47;662.84;True
5.35;56.95;102.69;3.33;3.56;41.86;False
3.91;248.48;189.50;5.40;0.98;116.26;False
6.00;90.31;22.52;3.12;1.88;487.14;True
3.89;45.21;15.39;2.30;2.45;338.27;False
1.56;153.84;22.08;2.76;1.19;349.81;False
1.49;90.06;40.12;3.59;1.26;102.55;False
11.81;139.61;103.81;1.64;1.50;554.31;False
3.28;74.85;64.93;2.54;2.62;477.43;True
2.92;50.44;58.49;2.02;2.37;188.39;False
3.69;44.08;59.89;-0.32;2.15;136.13;False
3.77;44.81;60.08;2.04;0.63;171.15;False
5.21;63.17;22.65;0.78;1.49;294.96;False
1.37;-1.94;42.42;0.09;0.71;27.20;False
5.58;7.45;5.35;-0.01;0.09;108.30;False
3.41;71.86;26.46;2.49;2.38;124.31;False
5.01;50.06;35.94;-0.09;0.97;103.29;False
6.35;120.03;62.22;2.13;2.66;640.65;True
8.18;71.53;45.82;2.98;1.69;553.09;True
9.82;208.26;105.66;8.90;3.58;912.12;True
5.43;74.73;43.30;0.61;1.35;531.46;True
6.20;52.82;57.93;2.65;1.38;290.36;False
3.98;72.35;1.48;0.31;1.47;549.89;True
3.20;65.96;70.63;3.54;1.94;15.53;False
7.64;69.90;38.04;1.68;1.27;509.17;True
5.91;42.28;-2.92;3.23;1.13;206.84;False
4.83;93.82;41.63;0.10;3.50;391.52;True
7.22;27.91;61.76;5.51;1.19;300.68;False
5.44;-2.43;81.35;1.78;1.44;1.20;False
-2.46;66.09;36.71;0.44;0.69;-100.57;False
3.25;107.93;47.88;3.42;1.27;309.41;True
5.33;87.98;39.86;1.24;1.70;433.64;True
4.49;116.15;;0.37;2.48;449.96;True
3.87;68.03;32.51;3.80;1.50;327.33;False
3.57;70.45;37.50;0.05;2.78;148.74;False
7.01;43.67;23.56;4.70;1.41;331.78;False
6.52;37.42;36.92;2.09;0.44;183.68;False
4.29;67.43;65.72;0.40;1.64;311.32;False
1.55;85.35;10.09;3.97;1.22;63.10;False
6.72;37.86;37.51;2.40;2.28;323.86;True
4.65;62.39;44.50;0.32;1.74;240.02;False
8.95;34.78;44.75;1.74;0.76;314.12;True
2.87;61.30;17.47;6.64;0.90;183.40;False
4.31;117.12;2.75;2.43;0.78;550.67;True
3.94;118.38;-3.83;0.09;2.10;610.53;True
2.99;49.47;10.65;1.90;0.89;19.83;False
7.76;86.92;3.82;1.84;1.65;718.85;True
1.17;74.43;74.60;3.70;0.90;464.65;False
6.68;81.73;8.97;2.21;0.47;490.32;True
6.73;141.30;54.44;2.20;2.64;477.78;True
4.23;116.89;18.44;5.02;1.61;577.66;False
6.27;7.89;57.91;0.96;0.54;205.12;False
6.17;79.06;85.98;1.90;1.00;328.60;False
7.97;32.44;48.56;3.38;1.26;271.56;False
4.96;74.27;49.47;2.53;1.32;274.11;False
6.54;122.83;71.21;2.24;2.63;710.50;True
1.16;60.59;17.89;2.08;0.68;-16.04;False
6.84;51.51;69.84;1.27;1.17;331.08;True
6.56;57.41;67.85;2.49;1.22;279.70;False
3.93;64.36;32.02;1.82;2.74;296.54;False
2.10;79.15;33.76;-0.56;2.75;310.76;False
6.63;38.94;27.02;3.03;1.71;212.42;False
6.34;102.94;50.47;1.93;1.62;916.38;True
1.97;101.44;71.18;2.39;2.16;145.92;False
1.20;22.50;24.04;1.65;1.13;-96.75;False
6.76;93.11;50.11;0.09;2.12;769.87;True
4.22;31.08;39.63;1.32;0.72;14.30;False
4.59;28.98;49.38;-0.51;0.94;4.17;False
6.24;85.17;52.50;1.24;1.42;389.54;False
6.31;97.24;46.70;-0.33;4.60;622.51;True
6.49;33.68;72.06;1.76;0.93;395.59;False
4.94;18.73;40.86;2.42;0.78;-98.15;False
4.35;34.60;40.37;1.30;1.20;352.21;False
4.84;84.76;39.09;0.81;0.86;366.70;False
4.89;57.95;3.53;0.84;1.55;273.69;False
9.84;50.86;60.90;1.50;1.08;203.35;False
3.17;14.23;41.81;0.57;0.83;21.16;False
5.80;48.82;16.44;1.53;0.94;81.67;False
8.25;18.51;31.18;0.27;2.30;44.40;False
3.20;68.55;48.88;0.14;2.64;88.90;False
5.96;69.74;70.55;1.01;2.61;305.08;True
4.89;37.97;69.39;4.94;0.84;254.03;False
7.35;81.95;31.97;5.85;2.37;671.82;True
6.06;83.30;47.85;0.33;2.35;574.05;True
1.99;126.08;138.38;1.35;1.74;175.65;False
10.17;78.92;22.10;3.82;1.19;525.09;True
8.86;50.99;56.05;1.49;1.24;450.30;True
6.35;8.66;48.72;2.74;0.90;157.46;False
2.59;85.14;63.93;6.59;0.76;261.84;False
4.27;50.38;38.91;1.09;1.26;177.12;False
4.91;9.10;43.73;0.30;3.02;285.73;False
6.88;46.40;87.72;1.45;1.02;396.59;False
4.64;34.98;13.46;0.46;1.03;375.78;False
4.85;89.18;36.93;0.81;2.75;429.63;True
4.22;13.58;51.92;2.53;0.99;-56.41;False
4.06;35.90;44.12;4.25;1.35;226.13;False
2.60;66.79;54.64;1.04;2.69;10.60;False
5.52;32.77;35.02;6.39;0.94;233.93;False
6.98;92.93;32.37;2.27;2.80;518.78;True
1.45;63.01;12.30;2.70;0.70;84.45;False
2.25;59.17;50.03;4.89;0.73;113.39;False
3.71;69.71;19.29;1.83;1.79;286.51;False
4.98;49.36;11.78;1.74;1.63;86.52;False
9.01;-4.63;181.51;5.47;4.21;354.87;False
2.86;54.34;54.01;1.69;3.29;57.92;False
7.65;57.72;12.18;1.64;1.07;187.58;False
5.49;72.39;20.56;1.68;1.27;354.97;False
6.26;77.05;8.04;0.94;1.70;527.68;True
5.54;67.18;76.81;1.02;1.76;-30.67;False
6.95;27.12;-13.57;3.37;1.03;209.62;False
5.60;33.13;43.39;3.13;1.46;179.07;False
5.72;-5.66;6.04;4.11;0.61;351.29;False
3.68;148.35;80.14;1.68;1.89;462.48;True
-1.06;66.54;53.34;0.39;1.44;53.13;False
;83.68;6.01;-0.26;2.79;522.10;True
4.60;29.41;16.31;7.47;1.47;89.70;False
6.29;57.92;17.67;2.74;1.68;;True
1.10;64.57;39.78;3.64;2.98;85.74;False
1.06;113.42;76.99;1.78;1.07;262.33;False
3.94;2.08;42.90;2.41;1.28;80.75;False
4.47;49.93;43.13;2.06;0.82;39.14;False
2.60;-14.98;47.94;2.08;0.77;-127.77;False
3.31;69.43;73.75;2.20;1.62;210.33;False
0.82;34.34;21.49;1.86;0.78;133.83;False
4.93;90.25;37.18;1.97;1.26;384.28;True
8.95;51.75;39.72;1.49;3.07;561.06;True
2.82;103.78;30.35;-0.41;1.79;394.72;False
3.91;62.14;1.44;;1.13;245.02;False
3.33;81.91;-2.22;2.75;0.84;332.45;False
9.30;100.13;56.40;1.92;1.16;776.58;True
2.74;10.82;68.28;2.49;2.18;-65.87;False
4.53;-6.71;23.64;0.51;1.14;-90.84;False
15.31;192.30;115.76;2.42;4.13;1492.25;True
2.17;64.73;78.74;0.62;4.61;278.56;False
4.85;53.06;78.47;4.75;0.86;65.58;False
6.56;43.02;61.92;1.11;2.55;411.44;False
6.94;11.48;54.52;1.28;0.77;-6.85;False
8.87;42.54;30.49;0.82;0.85;260.93;False
4.43;103.44;55.93;3.23;3.70;663.01;True
4.52;105.83;36.35;6.61;1.02;223.63;False
3.34;88.59;41.50;2.26;2.69;180.82;False
3.79;32.01;-21.99;4.11;0.66;97.26;False
4.94;89.15;31.71;0.73;3.39;378.52;True
5.16;127.65;74.87;2.29;0.89;749.58;True
5.86;91.99;-0.49;1.71;1.77;450.27;True
5.23;102.28;38.78;1.13;1.52;368.56;False
7.79;-18.39;53.30;1.25;0.75;18.14;False
6.38;85.15;12.12;0.43;1.05;423.64;True
6.96;29.82;54.91;4.01;0.69;341.35;False
6.77;21.59;41.17;1.69;1.50;194.87;False
9.90;229.10;37.71;-0.80;3.84;918.07;True
3.30;71.87;22.06;-0.80;1.29;306.23;False
2.78;80.22;40.87;1.05;0.66;204.12;False
5.90;59.93;40.14;-0.04;2.02;154.11;False
1.82;-4.11;44.19;4.21;1.49;64.84;False
7.22;140.45;55.62;2.56;2.42;989.01;True
8.00;15.88;68.04;3.83;1.46;444.18;False
6.52;24.82;54.13;1.80;1.11;394.29;False
4.87;101.49;70.18;3.20;1.06;362.68;False
5.26;240.04;135.89;10.14;2.19;883.84;True
4.39;87.29;31.33;0.92;1.22;343.00;False
3.60;55.51;81.73;0.67;3.16;147.77;False
7.32;64.45;31.53;2.62;1.33;378.48;True
3.55;44.89;43.89;0.49;1.08;-18.03;False
4.99;35.47;47.24;1.48;1.16;240.40;False
3.11;51.92;66.30;1.99;1.79;504.81;False
9.05;69.36;40.83;-0.83;;709.80;True
4.49;117.99;13.50;4.58;1.99;674.63;True
7.59;37.23;71.71;2.79;0.38;183.00;False
5.00;61.45;30.74;0.81;1.05;458.39;False
2.84;59.71;56.32;0.90;2.45;221.93;False
6.15;16.59;47.73;-0.11;0.74;138.54;False
7.47;27.82;74.81;1.43;1.04;267.45;False
3.49;64.52;34.75;0.82;1.53;306.79;False
6.36;90.33;33.42;2.00;1.13;511.06;True
4.97;33.70;59.21;0.68;1.21;357.03;False
1.17;47.12;32.21;-0.05;1.19;81.38;False
2.55;135.20;-10.90;3.02;2.06;456.69;True
5.17;41.72;24.89;2.12;1.17;256.11;False
6.96;62.13;27.83;3.13;1.28;241.02;False
6.08;145.27;20.96;0.16;2.85;796.90;True
7.63;54.96;33.37;1.07;1.29;536.66;True
4.21;47.69;80.23;0.11;2.69;194.71;False
5.64;168.62;106.24;0.15;9.76;244.97;False
;30.05;39.74;4.39;0.74;203.84;False
3.98;18.45;34.38;-0.12;0.90;141.99;False
2.10;51.87;;2.62;1.29;75.13;False
7.46;107.22;165.88;5.25;5.65;314.27;False
5.53;32.71;67.49;2.13;0.40;361.00;False
5.72;10.96;75.09;0.02;2.08;156.48;False
2.70;76.37;16.20;4.12;1.30;246.73;False
6.65;22.31;66.52;1.25;1.08;209.25;False
7.25;9.23;30.35;2.49;0.51;175.82;False
9.85;66.31;8.58;1.92;2.34;503.06;True
8.07;51.90;48.35;4.98;1.53;387.40;True
5.66;58.61;40.11;1.16;1.35;301.32;False
11.17;159.13;108.80;5.40;3.45;871.87;False
6.36;140.41;35.01;2.59;3.67;789.96;True
2.72;212.57;73.98;0.79;4.93;267.11;False
-0.72;51.24;62.60;1.17;0.52;5.21;False
5.54;;17.40;1.92;1.51;149.36;
6.30;66.78;75.14;0.86;3.08;346.83;True
1.04;106.54;39.18;-0.62;3.04;199.64;False
6.48;63.25;37.76;4.40;1.33;308.26;False
5.49;74.38;77.53;1.45;0.47;498.66;True
