frecuencia;gasto;visitas;devoluciones;satisfaccion_cliente;valor_cliente;cliente_premium
3.41;95.74;57.03;0.33;1.88;446.55;False
5.69;21.65;37.30;0.99;0.85;101.69;False
8.14;126.41;90.16;1.41;3.98;834.54;True
5.12;57.43;23.11;4.51;1.34;379.25;False
5.53;51.68;35.10;2.52;1.30;-14.34;False
1.65;40.77;14.28;3.05;0.54;63.85;False
3.33;43.19;22.52;1.17;1.60;66.47;False
4.60;81.68;55.62;2.57;0.84;470.48;False
5.48;93.59;78.27;1.01;3.07;479.00;True
1.99;73.82;35.82;0.12;1.78;224.39;False
4.51;111.63;42.18;3.10;0.48;524.45;True
;93.80;11.09;3.84;2.72;489.17;True
2.83;33.22;33.05;-0.08;1.18;197.04;False
4.53;77.02;43.09;1.66;1.81;338.21;False
6.51;133.00;19.23;0.68;3.25;627.57;True
3.41;102.54;71.91;1.91;2.66;278.79;False
11.96;106.98;62.78;2.72;6.66;1160.22;False
16.52;96.03;44.15;1.99;1.53;1167.45;True
8.07;89.25;58.05;2.44;2.68;513.94;True
6.54;21.35;63.18;0.34;0.58;323.92;False
7.04;29.87;54.56;2.95;1.05;250.74;False
5.21;33.87;34.49;1.44;0.78;384.26;False
3.30;115.74;24.13;1.28;2.21;128.64;False
3.69;36.20;53.38;2.44;0.81;29.99;False
4.95;136.20;20.02;-0.19;2.95;697.64;True
5.10;8.88;28.65;4.23;1.56;213.41;False
5.21;66.75;58.05;0.54;0.82;217.89;False
7.74;150.65;55.20;4.91;1.11;508.09;True
8.13;103.95;45.52;2.21;1.02;422.80;True
8.51;47.82;42.16;3.10;0.32;345.27;False
8.09;103.35;13.18;;2.79;474.09;True
6.25;27.27;40.90;1.15;0.92;293.17;False
4.82;56.56;42.11;1.65;2.47;268.42;False
1.33;21.80;65.41;2.82;0.34;-98.69;False
;41.91;47.79;3.70;1.33;30.46;False
3.95;69.72;49.45;2.03;1.90;217.00;False
8.62;41.19;42.06;1.19;1.12;387.92;True
8.77;90.26;79.19;1.73;0.83;620.50;True
1.91;58.88;33.59;2.17;0.97;220.65;False
2.25;41.75;20.49;1.21;0.49;96.32;False
5.87;93.71;22.93;-0.33;1.11;482.69;True
7.20;142.11;28.73;2.75;2.33;895.79;True
6.44;5.56;43.70;0.51;0.79;137.61;False
16.16;104.52;101.87;6.30;2.00;498.88;False
9.44;104.32;53.08;1.35;3.96;869.89;True
7.39;28.17;65.36;0.72;0.56;240.66;False
6.39;9.08;40.68;0.09;1.22;209.92;False
5.99;12.65;85.85;1.64;1.40;82.53;False
4.35;31.90;18.07;2.38;1.26;195.53;False
4.54;40.77;78.80;3.19;1.42;242.52;False
5.82;3.97;3.42;3.09;1.73;76.79;False
2.25;74.07;7.22;0.61;1.59;540.95;True
