pm25;no2;trafico;viento;contaminacion;alerta
33.87;39.17;53.65;1.64;138.20;False
56.07;73.61;88.32;3.43;213.50;True
73.15;65.25;66.21;4.39;174.43;True
37.23;50.36;38.77;2.83;126.92;False
68.56;64.62;82.92;5.85;243.98;False
42.72;38.97;56.51;3.79;115.57;False
33.21;37.18;61.63;1.12;106.69;False
26.62;43.70;32.54;2.25;53.38;False
63.28;56.09;39.61;4.26;137.22;False
52.97;33.77;53.73;1.77;115.27;False
51.67;75.11;52.83;3.27;147.43;False
69.04;52.92;76.90;3.09;182.38;True
85.38;109.34;93.75;8.93;191.43;False
73.95;55.92;92.43;4.72;173.73;True
15.60;56.09;46.44;1.95;118.50;False
58.83;25.19;87.03;1.69;161.63;True
75.16;48.25;101.78;3.01;256.39;True
37.93;75.94;79.12;3.12;198.20;True
46.11;36.01;60.55;2.62;149.14;False
53.60;25.90;68.79;2.00;130.57;False
32.73;50.99;41.55;3.11;116.27;False
58.67;22.71;64.47;2.24;156.01;True
62.07;;59.80;3.45;112.80;False
66.19;11.40;73.90;2.93;130.01;False
44.35;43.79;92.72;4.65;148.81;False
46.52;56.49;62.02;3.71;149.22;False
86.88;51.58;49.93;3.05;173.38;True
65.79;35.10;56.79;3.08;136.84;False
60.16;55.03;66.16;1.90;138.61;False
62.09;59.81;51.73;3.29;129.10;False
48.86;45.90;30.51;2.73;115.78;False
29.39;40.03;50.38;1.57;124.67;False
9.04;45.72;37.92;3.01;92.34;False
46.23;38.05;103.00;3.27;177.40;True
26.06;18.74;25.66;5.66;41.66;False
43.76;46.17;51.33;2.89;127.49;False
34.32;35.17;86.64;5.13;124.82;False
68.47;87.08;118.09;13.11;181.27;False
47.91;163.45;188.12;9.04;278.40;True
89.92;78.84;92.20;4.93;229.95;False
23.89;20.17;72.62;1.62;138.16;False
52.42;44.11;67.74;2.42;131.09;False
83.01;23.94;48.16;1.85;145.01;False
68.51;61.47;38.91;2.61;153.03;False
76.02;46.14;50.90;3.39;167.97;True
60.89;;45.64;2.33;118.63;False
75.09;39.53;57.86;3.00;171.37;True
37.95;52.25;18.20;3.51;121.35;False
68.46;24.65;80.01;0.52;;True
69.21;42.53;18.85;3.57;128.69;False
73.03;50.62;85.15;3.87;187.13;True
34.33;22.38;67.33;6.35;69.00;False
10.43;35.70;45.60;4.25;75.92;False
11.03;40.81;48.64;1.77;106.36;False
85.55;32.12;43.79;1.46;139.43;False
-8.37;53.17;71.10;3.21;143.44;False
35.07;40.18;60.35;1.50;148.74;True
31.95;11.08;45.17;2.27;96.48;False
12.86;32.42;29.03;3.84;77.40;False
