viajes;distancia;tiempo;modo_transporte;congestion;alta_congestion
2.56;5.91;55.01;bicicleta;100.09;False
;8.32;70.14;bicicleta;872.82;True
3.17;24.39;24.62;bus;1005.91;False
1.41;12.37;12.83;bus;335.81;False
3.82;0.42;36.20;bicicleta;178.81;False
3.07;;27.80;caminar;23.00;False
2.97;7.88;58.25;bicicleta;42.66;False
2.21;28.03;54.43;bicicleta;1072.68;True
1.37;2.07;75.30;bicicleta;-308.28;False
2.49;15.51;60.12;bicicleta;977.59;
6.65;21.28;58.19;bicicleta;642.08;False
2.36;8.95;53.55;bus;13.93;False
4.90;6.51;57.99;caminar;-275.81;False
6.89;47.65;140.61;bicicleta;2599.78;True
2.01;17.99;48.87;bicicleta;803.03;True
3.89;36.42;54.64;bus;2330.05;True
4.34;12.30;15.31;bicicleta;308.62;False
4.70;19.15;18.39;bus;338.79;False
3.67;5.79;27.51;bicicleta;-159.06;False
4.46;17.03;43.44;bicicleta;911.55;True
1.53;24.40;14.31;bicicleta;391.75;False
5.62;15.99;19.61;bicicleta;182.67;False
2.92;6.61;83.65;bicicleta;686.08;False
2.83;13.01;52.33;caminar;555.79;False
2.66;20.22;68.70;bicicleta;1268.82;True
2.51;18.70;71.79;bicicleta;1323.71;True
3.47;10.46;78.96;bus;1229.00;True
3.14;7.92;17.38;caminar;-2.61;False
3.55;28.70;31.51;bus;652.35;False
0.11;10.48;26.96;bicicleta;925.56;False
2.15;1.26;74.24;metro;236.95;False
2.78;34.59;16.33;auto;1163.01;False
3.41;-0.44;48.86;caminar;-21.76;False
3.10;26.49;67.26;bus;1393.11;True
7.67;4.86;137.90;caminar;1300.69;False
2.80;14.35;70.42;bicicleta;687.98;True
12.95;86.38;117.00;auto;2063.96;True
2.93;15.03;39.18;bicicleta;1009.56;False
3.62;10.74;46.88;metro;785.41;True
6.51;22.43;38.15;bus;793.80;True
3.41;5.35;30.35;bicicleta;188.52;False
3.37;4.10;67.17;caminar;791.91;True
4.17;8.95;42.55;bus;1387.43;False
3.86;31.80;21.68;auto;692.67;True
3.38;25.59;49.22;auto;1481.96;True
2.65;17.01;45.22;bicicleta;900.58;True
2.59;0.47;70.15;bicicleta;551.21;False
4.34;14.61;52.66;bicicleta;716.28;False
3.36;27.36;38.28;bus;1672.28;True
2.80;10.30;38.75;bicicleta;152.07;False
3.39;12.88;38.19;caminar;543.61;False
4.02;28.21;13.59;auto;-314.46;False
2.58;39.01;26.08;bus;1321.24;True
1.80;2.62;31.07;bicicleta;3.09;False
3.53;-11.30;60.00;caminar;353.78;False
3.88;-3.16;94.22;caminar;739.92;False
2.19;16.33;86.01;bus;1118.73;True
3.13;9.75;59.92;bicicleta;620.31;False
2.28;-0.80;38.59;bicicleta;572.00;False
5.07;7.52;44.28;bicicleta;171.45;False
2.04;-6.42;49.94;caminar;220.31;False
3.35;8.66;74.03;bicicleta;585.10;False
5.35;85.68;82.22;auto;2086.71;True
2.24;-3.09;71.40;bicicleta;-839.46;False
5.82;52.91;145.67;bus;615.13;
5.26;6.17;49.58;bicicleta;-198.44;False
3.94;-19.08;79.41;caminar;-1090.51;False
0.96;28.15;85.80;bus;1839.90;True
;6.48;80.88;bicicleta;899.13;True
2.86;0.01;31.78;;163.46;False
4.77;7.41;39.28;teletrabajo;679.15;False
3.23;17.15;15.81;bus;337.40;False
2.11;-0.12;47.98;bus;612.33;False
2.60;6.05;72.40;bicicleta;146.43;False
4.51;25.24;5.84;bicicleta;73.63;False
2.69;36.97;70.24;bus;2111.18;True
3.75;-1.67;82.05;bicicleta;-153.42;False
4.08;36.18;33.33;auto;1194.50;True
1.44;8.63;36.97;bus;627.73;False
1.87;15.34;-3.61;caminar;-279.30;False
1.61;39.66;85.70;bus;3266.56;True
3.81;7.02;46.48;bicicleta;312.83;False
4.12;-2.93;12.59;caminar;-181.12;False
3.29;-2.21;47.35;metro;-408.43;False
3.82;9.36;46.84;bicicleta;805.35;False
2.09;9.28;73.45;bicicleta;305.76;True
2.41;23.57;17.68;bus;732.27;False
2.61;22.74;52.11;bus;945.59;True
1.86;14.61;53.58;bus;677.30;True
2.75;20.73;36.69;bicicleta;844.48;False
4.39;31.16;43.63;bus;869.36;True
2.24;19.58;63.41;bus;1459.70;True
2.76;14.81;35.64;bicicleta;731.70;False
4.75;22.14;-4.85;bus;;False
1.96;31.72;42.92;bus;809.54;True
2.95;27.37;50.62;bus;1709.45;True
3.97;-1.36;;bicicleta;-199.33;False
1.74;3.76;3.58;bicicleta;48.25;False
3.54;16.53;51.79;bicicleta;986.91;False
7.37;45.31;42.92;auto;311.30;False
3.84;-15.23;35.76;bicicleta;-322.25;False
3.25;1.00;46.70;bicicleta;456.26;False
3.55;2.65;27.64;caminar;-556.79;False
2.41;24.47;-3.57;bicicleta;36.00;False
4.36;17.36;86.82;bus;1246.96;True
1.00;-2.80;79.72;bicicleta;136.95;False
4.28;-0.64;36.87;bicicleta;256.66;False
2.52;2.99;49.05;bicicleta;592.62;False
3.62;35.26;37.76;auto;683.33;True
3.11;;40.18;bicicleta;613.19;True
2.84;16.14;61.84;bus;120.38;True
3.68;4.14;64.02;caminar;902.40;False
3.49;3.69;94.25;scooter;1396.08;True
2.61;18.98;4.45;bicicleta;356.22;False
3.53;19.29;48.91;bicicleta;1634.14;True
3.40;52.46;36.96;bus;1505.65;True
5.54;70.09;76.65;auto;906.79;False
1.15;13.47;43.97;bus;464.48;False
3.11;11.54;42.15;bicicleta;-145.16;False
2.10;18.15;1.18;bus;788.93;False
3.28;23.13;38.72;bicicleta;1320.80;True
3.89;9.01;20.06;bicicleta;-187.53;False
5.41;27.10;10.24;bus;732.05;False
2.41;11.71;21.46;bus;811.59;False
4.27;20.88;37.44;bus;246.64;False
2.86;29.54;95.15;auto;3177.72;True
;15.45;30.69;bus;58.37;False
2.50;23.65;18.73;bus;269.02;False
3.08;11.04;40.65;bus;104.15;False
2.61;0.49;11.49;bicicleta;788.67;False
3.90;10.67;46.30;caminar;287.34;False
4.73;32.75;1.66;auto;369.93;False
4.57;-31.74;49.99;caminar;207.01;False
1.63;31.96;36.29;bus;1455.26;True
1.78;-1.56;52.65;bicicleta;567.51;False
2.98;3.92;44.94;caminar;430.29;False
3.29;12.97;64.26;auto;298.27;False
3.29;26.59;61.18;bicicleta;1089.94;True
2.71;15.90;53.76;bus;575.08;False
3.44;6.03;33.87;bicicleta;718.47;False
1.50;4.07;68.37;bicicleta;318.23;False
2.51;23.12;50.14;bicicleta;789.22;True
3.99;15.31;38.51;auto;389.27;False
5.38;4.19;10.25;bicicleta;467.11;False
2.20;11.36;23.86;bicicleta;619.62;False
2.10;13.82;59.80;bicicleta;321.22;False
3.80;21.74;;bus;2223.52;True
3.44;13.71;51.32;bicicleta;622.81;False
3.47;24.48;55.40;bicicleta;1145.27;False
5.06;15.28;34.91;bus;952.63;False
3.40;6.88;69.78;bicicleta;-214.17;False
2.91;22.77;38.80;bus;76.65;False
5.27;4.92;47.41;caminar;-492.81;False
1.75;33.91;64.00;bus;2145.02;True
2.87;11.22;64.86;bicicleta;546.54;False
4.61;29.87;49.09;bus;960.22;True
0.87;25.16;45.91;auto;1545.89;True
2.64;6.09;38.40;bicicleta;167.65;False
3.39;6.28;65.57;bus;625.54;False
4.03;20.25;91.86;bus;996.85;True
1.86;17.04;15.77;bus;280.00;False
1.84;4.21;20.58;bicicleta;-78.57;
2.85;3.75;57.11;caminar;410.61;False
8.31;64.36;125.05;auto;2000.69;True
2.22;8.68;-14.34;caminar;-22.38;False
3.64;7.12;49.26;bicicleta;471.61;False
5.26;6.03;68.33;bicicleta;25.99;False
2.85;9.19;54.05;bus;1354.73;True
4.78;22.79;87.56;bicicleta;1150.63;True
2.69;23.59;22.44;auto;232.04;False
3.41;31.74;80.10;auto;1761.76;True
2.24;14.88;56.07;bus;677.85;True
1.19;25.78;22.37;bus;787.42;False
4.11;-16.15;35.11;bicicleta;-1209.38;False
2.66;18.27;39.13;bicicleta;987.74;False
4.96;4.57;;otro;101.01;False
0.74;7.21;89.68;bicicleta;355.95;True
3.66;-6.35;68.23;caminar;-381.78;False
1.49;17.34;48.01;caminar;315.93;False
3.51;7.70;47.46;bicicleta;793.44;False
1.61;6.05;52.09;bicicleta;815.79;False
2.91;1.86;34.75;caminar;318.76;False
2.27;24.67;44.29;bus;665.42;True
3.38;25.34;21.04;bus;1035.68;False
3.46;27.68;60.07;bus;1071.22;True
