pm25;no2;trafico;viento;contaminacion;alerta
68.52;80.76;67.72;4.19;166.85;True
45.27;27.18;37.02;2.84;76.44;False
73.58;31.84;46.65;2.57;146.36;False
;58.60;65.08;2.23;160.68;False
31.45;53.54;71.93;;116.55;False
49.19;38.24;76.93;2.50;158.92;True
2.98;66.28;47.88;1.91;124.25;False
77.08;35.57;74.48;4.78;161.11;True
50.06;65.66;61.37;4.13;110.27;False
53.15;70.58;60.75;2.58;145.05;False
64.07;66.82;19.29;2.74;117.08;False
53.92;58.30;14.15;2.92;129.02;False
59.80;74.01;48.92;2.59;178.55;True
50.69;48.83;66.32;4.87;141.88;True
144.91;66.20;85.06;4.76;268.21;True
;36.58;55.31;3.73;170.25;True
8.48;52.44;3.98;1.69;73.18;False
55.15;34.16;71.52;3.93;150.07;False
64.26;49.59;69.23;1.62;176.44;True
40.11;13.63;48.81;1.86;66.94;False
50.85;42.09;57.89;2.83;123.10;False
88.74;81.34;59.00;3.45;218.26;True
97.20;180.62;61.39;6.85;204.75;False
63.22;46.19;45.67;2.00;158.04;False
54.32;27.81;83.23;3.55;145.90;False
35.07;14.29;55.81;3.69;89.71;False
75.18;11.26;54.96;1.67;156.34;True
93.14;51.54;98.88;4.34;214.17;True
45.68;71.32;58.90;4.22;143.40;False
62.73;53.75;66.40;3.07;157.67;True
53.97;71.15;71.57;3.01;154.77;True
33.01;72.41;21.48;2.86;106.66;False
48.65;39.35;67.17;1.32;135.05;False
62.44;35.50;13.29;5.26;39.22;False
32.50;38.46;63.14;4.31;103.73;False
52.02;18.85;26.79;3.58;64.82;False
47.51;20.10;93.12;5.18;132.53;False
8.85;47.62;53.54;3.76;95.75;False
58.22;24.83;48.36;2.56;122.85;False
-1.21;40.72;73.71;3.32;82.83;False
32.45;44.01;40.57;2.89;122.76;False
90.02;45.60;50.89;;192.49;True
84.81;50.92;96.68;2.11;213.32;True
65.62;108.22;109.36;4.61;215.36;False
40.51;14.97;72.95;3.88;115.46;False
61.81;48.60;54.01;3.65;176.84;True
34.33;52.73;40.49;3.89;119.11;False
57.34;25.38;70.37;4.25;115.93;False
50.84;41.47;64.01;2.54;130.19;False
45.75;26.22;50.60;3.18;104.80;False
23.78;17.24;81.79;3.95;130.99;False
37.28;13.54;76.64;3.43;118.00;False
43.57;47.83;60.56;2.55;129.57;False
8.32;61.77;30.51;3.06;91.87;False
103.61;67.91;99.40;2.67;261.51;True
39.85;31.34;62.10;2.98;131.45;False
72.12;46.13;76.82;3.09;183.32;True
47.52;22.89;96.56;1.49;147.51;False
77.36;49.88;69.09;3.34;171.33;True
52.47;-4.44;72.13;3.36;132.64;False
65.18;50.02;91.09;4.78;157.99;True
83.35;35.12;20.57;3.83;138.94;False
47.22;20.86;62.10;1.19;141.02;False
32.58;63.90;48.40;3.77;160.87;False
71.96;33.68;74.59;4.20;106.18;True
34.10;37.29;74.09;3.07;171.56;True
86.18;12.98;74.00;1.91;143.09;True
22.74;29.08;56.87;4.12;128.12;False
20.42;24.95;51.57;3.19;89.53;False
60.54;53.59;88.97;2.79;176.83;True
75.45;72.97;71.95;2.56;225.96;True
15.65;57.71;64.08;4.37;126.40;False
80.43;51.43;7.23;1.77;153.45;False
42.86;168.24;59.58;10.53;166.42;False
67.40;28.38;64.40;4.33;139.56;False
53.87;50.02;61.94;3.63;173.94;True
63.79;54.08;53.40;2.87;135.64;False
59.21;25.26;102.42;6.10;131.80;False
;27.94;67.58;2.64;164.02;True
20.55;33.32;91.12;3.71;95.80;False
