horas;asistencia;tareas;retrasos;planificacion;nota_final;aprobado
3.35;64.53;97.57;1.98;3.26;4.34;True
3.75;70.65;80.80;0.35;2.79;3.89;False
5.71;99.66;74.43;1.95;3.08;4.65;True
6.41;72.61;104.17;3.25;5.08;4.98;True
2.94;97.01;96.99;2.05;4.25;4.11;True
3.69;64.87;86.53;1.08;5.21;4.14;True
4.54;99.79;66.13;2.64;2.91;4.26;True
4.06;57.12;86.38;3.27;2.32;4.40;True
4.86;68.84;91.54;-0.18;3.23;5.36;True
4.46;76.47;105.63;1.95;3.81;6.04;True
4.70;83.21;86.15;3.38;2.80;4.41;True
4.02;68.71;84.30;1.02;4.51;4.88;True
3.46;66.29;80.39;2.97;3.84;3.48;False
3.50;56.44;91.02;1.00;3.98;5.06;True
2.70;66.00;84.76;2.54;2.32;3.70;False
5.44;54.53;68.31;2.73;2.33;4.27;False
5.78;68.43;101.46;2.59;2.53;6.20;True
4.96;54.59;98.56;0.83;2.57;3.67;False
5.04;88.56;98.37;1.15;3.50;4.81;True
3.48;76.91;100.26;3.61;3.68;4.42;True
5.45;85.49;80.90;1.58;2.63;4.51;True
5.12;57.67;87.00;0.82;;4.27;False
3.46;66.42;95.58;1.85;4.24;3.65;False
5.02;80.13;61.95;0.09;3.91;5.56;True
3.88;92.91;61.61;2.49;3.27;4.26;False
2.12;82.55;96.55;1.88;3.84;4.27;True
3.47;89.33;91.14;3.34;4.90;4.39;True
3.86;85.14;119.59;1.70;4.43;5.06;True
4.38;70.75;81.94;1.30;3.03;3.94;True
3.09;73.14;63.22;2.41;3.72;3.38;False
4.80;72.64;91.84;0.52;2.55;4.18;True
4.36;74.79;96.68;1.60;2.82;3.74;False
2.41;70.97;89.02;2.87;3.24;3.28;False
6.80;85.83;83.12;4.40;2.02;4.82;True
3.30;87.69;80.38;2.04;3.24;4.89;True
3.80;74.15;92.60;3.79;2.13;4.69;True
4.01;66.58;83.81;-0.06;2.38;5.17;True
4.54;153.71;232.61;3.97;7.32;10.06;True
5.83;68.99;77.52;1.03;3.48;5.34;True
5.19;82.34;73.28;5.01;3.59;3.60;False
2.94;77.63;59.53;1.72;2.26;3.17;False
4.38;79.80;78.28;0.75;2.48;4.67;True
1.52;86.68;67.59;0.57;3.64;2.31;False
4.10;54.31;91.94;1.87;2.28;3.98;False
10.05;183.36;265.33;-0.60;6.46;10.79;True
1.90;77.31;85.80;1.60;3.58;4.24;True
3.58;81.51;;1.86;2.09;2.38;False
1.96;;98.83;0.76;4.07;4.43;True
4.46;82.51;95.14;0.04;3.75;6.17;True
6.02;96.80;98.96;4.98;2.66;6.18;True
4.59;66.55;78.02;4.39;2.99;3.23;False
3.98;66.90;102.44;1.27;2.19;2.88;False
1.83;70.07;80.14;0.28;2.03;3.54;False
2.97;67.07;91.59;1.13;3.03;4.54;True
5.45;68.92;102.27;0.32;3.56;5.02;True
4.38;71.33;92.63;2.73;2.70;3.83;True
7.34;152.22;226.67;3.77;6.86;10.53;True
4.57;66.15;75.68;-0.84;3.07;5.49;True
3.54;96.05;77.31;3.06;3.27;4.54;True
3.85;76.24;64.69;3.18;4.04;3.28;False
3.11;70.72;79.65;1.45;3.19;3.59;False
2.82;58.80;72.03;1.32;2.32;3.27;False
3.03;59.27;81.18;0.58;1.74;4.05;False
5.68;67.56;77.86;1.10;3.80;5.08;True
1.58;64.00;96.57;3.89;4.50;3.69;False
1.81;77.03;87.27;0.32;2.69;4.29;True
7.72;60.07;88.51;1.88;3.06;4.91;True
3.43;79.65;81.21;0.91;0.86;3.06;False
6.13;82.42;98.30;2.29;3.29;5.09;True
4.91;91.22;93.62;1.21;4.09;4.59;False
2.68;89.22;92.69;3.52;3.11;3.85;True
3.45;67.52;86.47;1.76;4.13;5.01;True
5.09;89.82;86.20;-0.40;2.75;4.10;True
3.47;90.82;91.29;1.98;2.31;4.95;True
5.14;183.16;210.98;7.09;8.15;9.82;True
4.13;100.21;90.10;2.16;3.32;4.34;True
2.82;79.91;78.84;1.39;2.66;3.76;False
3.13;68.85;91.26;2.43;4.42;5.19;True
3.46;49.38;90.60;2.92;2.28;2.78;False
2.61;61.69;78.86;1.92;2.04;3.44;False
5.03;69.23;91.32;0.35;3.53;5.87;True
3.11;71.53;103.43;0.47;1.84;5.01;True
4.57;65.55;82.55;1.76;3.94;4.08;True
3.52;;82.62;1.44;1.81;3.98;True
4.44;80.79;86.75;0.96;3.31;5.00;True
4.43;72.50;91.12;1.38;3.54;4.73;True
1.95;87.50;75.58;0.68;3.25;4.94;True
4.38;63.76;108.79;2.27;1.76;4.75;True
3.80;88.55;73.05;3.23;2.30;3.82;True
3.50;65.81;83.92;0.77;3.58;4.72;True
6.98;71.53;70.16;4.91;3.03;4.27;False
7.80;166.40;223.16;3.18;4.63;11.84;True
4.41;54.61;81.79;4.63;2.48;3.07;False
4.38;67.35;91.38;0.51;2.26;3.91;True
1.65;82.12;91.13;2.25;0.79;4.17;True
5.32;67.92;69.43;1.05;2.79;3.92;True
6.06;62.64;96.64;2.58;2.69;4.61;True
5.32;55.31;66.05;0.59;3.02;3.96;True
3.15;60.86;87.80;3.10;3.15;4.39;True
