pm25;no2;trafico;viento;contaminacion;alerta
63.99;42.83;51.60;3.49;126.06;False
44.30;33.30;53.23;3.66;119.04;False
25.33;33.03;43.28;2.84;97.92;False
37.92;17.90;61.80;3.09;111.94;False
75.60;40.15;54.00;3.87;160.70;False
30.53;28.17;33.25;2.49;99.82;False
50.10;41.57;94.63;2.18;189.18;True
69.97;27.46;57.85;4.33;143.07;False
94.74;60.09;53.08;4.19;144.60;True
21.03;22.38;57.21;2.89;74.44;False
48.08;27.91;63.87;5.14;134.43;False
100.02;18.44;74.38;2.80;181.34;True
111.28;32.69;45.48;2.34;191.81;True
90.08;10.26;43.71;4.96;126.23;False
67.44;23.40;65.16;1.71;119.59;False
67.50;56.41;55.20;4.00;171.04;True
46.83;36.35;61.76;3.55;138.98;False
35.31;20.13;12.04;5.94;44.49;False
65.86;50.83;31.26;2.15;143.90;False
35.75;48.80;73.69;2.70;145.66;True
1.51;26.32;47.92;1.86;120.96;False
89.27;104.48;174.82;4.62;432.51;True
102.67;58.47;57.33;2.69;213.85;True
61.46;57.11;37.09;1.03;134.96;False
39.41;24.58;45.84;3.27;100.68;False
41.49;30.04;67.09;3.24;139.44;False
20.55;27.51;88.14;2.41;141.15;False
33.38;48.15;37.01;2.56;119.13;False
56.59;46.11;46.44;4.20;186.95;True
41.74;1.63;78.15;1.97;107.09;False
55.84;48.70;34.86;1.34;102.72;False
47.56;28.86;41.89;3.95;115.93;False
43.70;17.47;31.28;3.84;80.17;False
31.30;34.36;74.85;4.37;148.88;False
87.33;68.48;73.45;2.84;233.29;True
41.09;36.56;46.39;2.43;108.63;False
62.81;68.52;62.74;2.88;152.89;True
63.06;49.15;103.25;3.29;162.86;True
76.14;39.36;54.10;3.53;154.26;True
28.31;54.74;60.76;4.00;116.01;False
68.40;32.26;64.10;2.21;137.01;False
82.21;33.77;114.25;7.42;204.92;False
96.60;12.06;60.04;3.25;132.41;False
66.44;45.38;80.74;5.61;166.21;True
50.15;40.22;56.72;3.97;132.88;False
16.54;51.24;67.61;2.24;101.91;False
29.06;35.03;46.36;2.05;112.18;False
48.41;41.41;93.32;4.54;148.99;False
9.32;35.06;84.70;4.04;68.73;False
33.24;17.61;92.85;1.84;137.75;True
72.81;12.01;85.25;1.92;167.93;False
37.70;32.40;54.37;2.78;178.27;False
42.59;51.27;58.08;4.07;146.52;False
33.49;30.93;;2.53;137.29;False
14.22;21.39;52.77;3.01;103.52;False
26.67;64.58;72.58;3.89;165.50;False
53.04;29.26;35.30;2.39;91.48;False
36.54;15.67;78.68;2.63;111.12;False
48.92;46.44;62.30;5.44;142.18;False
63.08;67.09;64.69;3.36;179.15;True
34.78;39.19;20.81;2.71;50.22;False
23.03;37.36;136.07;6.95;205.51;
50.38;32.49;66.32;3.61;160.78;False
58.45;63.84;55.58;3.85;133.80;False
28.61;31.77;51.81;3.28;97.16;False
20.76;9.56;40.76;1.87;118.79;False
36.98;23.45;28.90;3.01;75.01;False
51.65;31.49;47.69;3.00;84.45;False
36.18;65.75;42.37;2.08;172.37;True
36.34;55.03;68.40;4.40;133.50;False
69.60;38.21;72.41;5.97;106.09;False
90.24;70.24;68.80;2.11;203.83;True
42.12;40.80;47.30;1.49;161.74;True
25.42;76.91;40.88;3.58;154.75;False
41.65;33.61;2.95;2.76;52.39;False
54.75;37.90;106.95;2.90;201.95;True
85.17;15.52;63.13;2.75;170.25;True
16.35;51.48;34.36;4.09;54.75;False
79.32;26.05;96.12;3.24;158.96;True
45.18;79.12;56.69;2.04;179.14;True
19.01;33.35;71.57;1.91;90.27;False
66.17;51.31;95.71;3.51;195.10;True
9.54;36.97;52.84;3.66;105.43;False
22.76;49.52;77.25;5.07;153.19;False
99.97;43.84;63.41;3.05;209.33;True
7.41;37.37;25.29;3.49;98.35;False
34.85;35.94;46.55;2.13;103.81;False
81.57;27.12;206.22;1.07;258.12;False
38.43;43.94;88.83;2.19;167.58;True
61.59;0.44;66.69;3.07;113.05;False
50.31;57.16;78.91;2.98;203.76;True
14.75;44.82;48.87;0.92;129.10;False
98.48;63.83;53.69;3.53;176.70;True
3.47;46.36;26.77;1.00;101.62;False
65.08;65.86;83.07;1.06;154.82;True
45.72;56.98;120.78;3.50;192.27;True
48.50;31.95;48.23;4.02;96.82;False
73.56;7.64;66.87;3.81;114.10;False
68.10;52.30;74.02;3.07;158.92;
66.48;42.92;73.76;3.35;130.20;False
127.94;95.89;79.23;6.71;302.64;False
22.66;43.68;69.84;1.47;114.38;False
48.60;26.81;54.39;2.45;115.24;False
81.01;54.58;49.03;2.72;161.32;True
38.32;;79.36;3.27;130.56;False
43.32;21.32;97.95;2.02;186.70;True
47.18;49.09;49.86;1.70;144.74;False
50.17;15.26;54.51;3.09;130.02;False
80.37;30.45;108.53;;172.63;True
82.53;40.57;66.23;1.62;121.23;True
73.59;46.27;25.10;2.91;129.45;False
72.77;55.76;34.55;3.49;107.95;False
66.87;20.61;67.12;3.11;119.30;False
45.12;42.18;48.24;2.59;126.77;False
11.70;31.64;60.71;2.31;111.75;False
65.74;33.51;83.06;1.96;212.90;True
74.27;46.60;78.75;2.98;162.10;True
55.18;61.87;71.70;1.94;152.58;True
48.03;115.57;144.18;6.98;381.24;False
36.17;120.52;98.91;6.53;257.62;False
90.32;33.57;65.38;3.11;155.36;True
20.77;33.42;58.12;1.88;112.78;False
33.89;39.91;58.11;1.69;88.84;False
14.86;24.81;58.47;3.03;64.78;False
61.80;59.47;49.60;2.08;;False
71.45;33.83;59.61;1.14;183.63;True
68.81;40.83;49.87;0.44;148.25;False
28.89;30.84;45.03;3.34;104.33;False
23.48;33.18;49.37;2.94;81.18;False
55.80;38.99;28.68;2.92;156.52;False
62.66;55.25;-6.80;3.67;95.25;False
40.03;38.38;-2.62;2.29;51.36;False
60.48;26.05;61.78;4.05;102.91;False
57.78;51.25;61.97;3.54;171.07;True
71.33;29.98;64.63;3.06;148.67;True
54.22;31.51;70.55;2.27;188.38;True
65.16;42.47;80.94;3.72;181.77;True
91.18;56.01;129.13;3.89;352.61;False
71.21;65.40;60.95;2.71;128.41;True
48.82;34.05;84.30;2.71;138.80;False
35.17;24.48;96.35;3.36;149.05;False
60.38;43.65;59.17;2.54;158.48;True
70.37;18.58;71.07;5.71;128.66;False
31.92;48.78;38.49;1.17;141.39;False
59.38;54.24;24.00;4.52;119.28;False
50.91;44.79;90.03;1.27;150.49;True
5.33;47.18;22.10;2.39;;False
43.67;71.18;72.07;1.41;139.26;True
29.29;58.52;112.46;3.77;174.01;True
-2.84;46.64;87.40;1.38;117.39;False
46.69;31.79;45.47;3.47;146.56;False
45.54;18.77;59.35;2.38;140.16;False
63.89;42.87;37.58;0.71;136.30;False
63.07;37.66;53.93;4.32;121.88;False
20.23;47.63;56.34;3.56;144.88;False
26.43;41.40;82.08;3.65;129.93;False
18.82;44.61;97.10;3.83;140.02;False
7.79;33.79;89.80;3.27;109.73;False
71.71;104.67;182.76;9.63;394.46;True
39.66;35.37;92.18;2.16;151.70;True
29.93;42.25;24.50;2.93;55.62;False
51.38;54.49;72.25;;183.79;False
12.61;32.97;34.83;4.81;57.68;False
68.93;30.22;35.45;2.96;97.36;False
12.46;66.23;80.25;1.60;115.47;False
83.49;41.88;84.04;5.29;173.70;True
60.09;69.57;55.03;2.79;141.19;True
42.80;20.76;31.52;3.11;113.84;False
49.07;27.69;54.33;2.46;;False
44.63;58.67;55.15;3.15;162.44;False
98.83;76.31;26.59;5.68;141.11;True
28.03;48.54;78.89;1.58;132.66;False
68.08;29.84;58.05;4.39;149.07;False
81.98;63.29;56.01;3.06;126.71;True
30.01;22.89;59.36;4.59;94.62;False
64.30;16.63;59.27;2.67;155.81;False
48.07;39.20;78.57;2.06;145.54;False
38.32;30.32;62.88;0.70;120.12;False
64.20;43.40;21.84;3.35;110.05;False
39.40;48.19;77.79;5.56;158.46;False
49.68;34.19;27.01;2.25;121.55;False
38.20;38.75;66.83;3.47;130.63;False
43.94;62.03;42.04;3.52;164.95;False
63.12;39.27;72.23;4.39;137.95;True
16.03;48.01;34.18;2.77;107.04;False
56.83;45.31;51.77;5.34;132.82;False
30.35;42.02;75.34;1.70;190.18;True
46.53;197.97;103.45;7.04;305.29;False
92.27;50.83;40.36;3.11;156.95;True
66.19;30.76;18.83;2.69;124.60;False
;36.59;22.36;2.38;68.17;False
40.48;45.03;83.01;3.14;159.38;True
27.13;39.36;67.37;2.66;134.72;False
51.36;49.25;45.18;0.49;150.57;True
32.45;51.70;24.01;0.58;103.96;False
54.85;40.42;59.85;2.50;123.67;False
95.98;50.24;31.21;2.15;187.26;True
44.38;56.26;53.73;3.01;130.49;False
61.55;55.30;79.53;2.33;171.71;True
69.36;50.34;53.50;3.77;143.66;False
19.85;53.77;37.27;0.05;127.36;False
3.06;40.10;41.11;3.37;82.06;False
75.01;53.07;58.81;2.23;164.71;True
73.54;66.42;92.68;3.76;174.91;True
124.06;59.50;186.11;10.00;411.84;True
46.38;38.99;30.56;5.58;77.60;False
23.43;25.05;33.13;2.50;80.41;False
38.73;46.08;22.32;-1.61;115.19;False
32.60;27.25;54.45;3.17;128.40;False
63.56;3.84;34.46;3.23;120.74;False
75.92;25.42;77.48;3.40;162.82;False
50.35;54.61;62.92;3.37;130.39;False
63.54;32.62;70.02;1.39;90.55;False
34.83;6.92;58.41;1.82;125.13;False
22.26;32.51;43.57;3.48;74.15;False
31.35;35.92;25.26;4.14;67.12;False
63.00;42.56;108.51;3.40;161.90;True
35.28;67.50;62.81;4.21;112.81;False
46.86;;;3.19;161.59;True
66.56;38.49;67.92;3.98;140.85;False
25.85;49.98;9.47;2.43;62.65;False
24.18;42.51;53.23;3.49;115.78;False
93.36;88.04;205.31;5.50;366.54;True
43.02;54.04;81.74;1.95;176.68;True
56.71;51.16;73.04;4.41;128.14;False
78.25;33.49;14.14;2.13;127.50;False
47.98;26.41;63.09;3.54;115.15;False
68.67;42.17;62.34;3.94;128.20;False
58.83;45.57;70.92;4.04;154.71;True
-15.20;45.52;56.69;2.10;66.12;False
59.42;122.63;168.97;9.77;305.41;False
5.73;51.87;51.89;1.19;91.97;False
39.99;33.77;69.83;3.09;124.89;False
37.46;55.68;101.41;4.81;165.94;True
53.81;60.93;92.91;4.05;189.34;True
27.68;45.47;83.04;2.50;98.62;False
15.80;35.81;21.55;4.01;44.36;False
59.43;43.60;53.51;2.51;132.43;False
54.98;41.73;85.61;2.79;185.54;True
33.96;20.64;60.33;3.50;100.15;False
70.83;73.51;38.80;2.30;141.48;True
57.79;190.35;139.12;2.21;397.62;True
20.80;24.07;56.18;2.69;111.55;False
59.18;26.85;49.49;3.07;127.54;False
24.17;31.62;65.75;3.39;101.94;False
43.17;45.66;54.86;2.46;;False
75.52;94.95;139.10;5.19;324.25;False
72.87;8.51;40.02;1.47;103.12;False
86.39;64.30;37.30;0.83;181.60;True
89.07;;66.10;4.37;106.16;False
46.11;67.90;81.84;4.04;163.94;True
54.09;33.47;69.34;3.61;120.88;False
25.41;38.92;62.03;3.93;81.90;False
27.61;24.42;48.39;2.17;68.85;False
27.56;34.06;77.13;3.31;148.72;False
61.23;47.20;45.53;4.20;142.26;False
45.94;40.92;47.63;0.97;112.18;False
62.71;28.97;86.88;4.03;157.00;True
45.70;49.20;73.64;3.38;169.45;True
87.96;32.37;74.48;2.06;199.45;
31.37;67.60;60.78;4.86;150.32;False
65.49;35.28;49.12;3.45;87.42;False
76.07;132.95;138.19;5.08;366.50;True
49.90;31.92;50.01;2.92;133.26;False
63.23;37.94;51.92;2.54;121.43;False
36.08;51.02;89.30;3.92;144.99;False
90.33;54.63;18.27;1.90;110.08;False
25.33;56.74;58.18;3.72;72.87;False
57.52;32.29;54.97;3.11;127.62;False
20.53;69.20;26.31;4.95;92.73;False
13.98;52.59;61.45;4.46;122.36;False
37.16;43.61;46.77;4.65;125.21;False
;57.41;82.97;;143.33;True
47.71;23.29;62.22;3.69;119.34;False
66.89;50.23;56.01;0.77;199.09;True
59.44;29.00;79.85;3.23;183.22;False
63.09;48.21;73.19;3.74;191.00;True
79.80;85.96;160.11;;320.29;False
41.46;18.82;50.96;3.11;107.66;False
54.80;24.46;52.90;2.34;109.52;False
69.08;33.29;54.46;4.48;131.94;False
64.21;36.87;82.35;2.84;184.77;True
23.82;28.56;69.59;3.36;89.21;False
15.92;19.40;110.24;3.91;161.08;False
46.64;30.77;60.61;2.72;142.78;False
59.49;30.63;49.24;3.16;144.87;False
18.65;36.34;82.01;3.29;99.80;False
55.74;14.39;;1.88;84.30;False
33.67;38.80;95.41;2.71;142.10;False
47.46;40.05;66.20;3.35;169.89;False
23.71;40.97;27.72;4.16;77.49;False
91.47;41.36;37.54;4.00;152.48;True
58.78;14.86;59.33;1.56;146.46;False
84.47;9.33;26.98;2.29;83.90;False
35.84;;50.64;3.24;122.85;False
62.82;47.91;72.07;4.87;159.70;True
79.50;18.42;61.33;3.18;131.97;False
25.73;32.80;67.55;2.63;134.18;False
42.42;25.30;70.83;2.93;120.29;False
96.56;47.23;79.28;2.89;163.22;
90.58;18.85;78.32;4.44;167.55;True
21.54;21.77;50.10;4.36;84.89;False
61.27;40.81;50.34;2.35;167.36;True
41.40;33.93;96.47;3.97;181.90;True
45.61;52.84;41.93;3.36;91.64;False
42.98;8.27;110.14;0.94;177.16;True
82.25;33.28;44.93;0.18;115.25;False
67.84;37.62;37.92;3.50;139.30;False
70.31;9.53;87.15;2.57;157.48;False
48.30;51.26;48.90;4.33;121.87;False
53.07;0.20;25.35;2.50;49.77;False
46.30;25.94;19.72;2.63;125.75;False
19.42;8.90;51.14;2.92;88.17;False
64.66;15.25;40.47;2.73;118.07;False
81.04;25.89;32.60;0.92;106.42;False
75.74;36.32;38.74;2.12;139.08;False
34.79;27.63;35.89;1.52;85.58;False
63.00;27.97;33.41;3.33;101.35;False
53.80;32.69;58.71;2.89;130.63;False
45.17;50.65;61.08;2.65;141.10;True
48.09;82.53;167.83;7.84;356.00;False
52.00;31.97;75.09;4.11;138.36;False
32.30;49.92;86.10;0.44;144.04;True
25.05;36.05;73.09;2.88;109.67;False
147.40;29.09;192.84;5.12;440.87;True
45.20;41.84;82.86;3.25;151.17;False
65.33;69.07;42.08;1.99;124.22;True
54.12;31.27;55.34;3.31;114.19;False
75.43;42.49;65.06;3.92;173.42;True
43.79;63.13;64.51;3.16;179.14;True
21.68;46.77;37.40;4.41;101.57;False
86.34;51.91;103.04;3.76;224.01;True
;32.35;60.84;3.74;170.50;True
39.79;-6.94;54.45;3.32;75.00;False
23.67;20.82;34.02;2.83;64.75;False
38.00;45.26;35.57;3.46;119.92;False
52.77;79.18;;3.66;195.94;True
31.44;32.84;82.01;3.83;151.49;False
59.61;71.55;65.49;3.29;196.10;True
60.96;16.33;68.71;4.15;111.12;False
43.78;36.30;13.93;2.74;76.43;False
74.09;39.31;25.21;4.45;104.76;False
74.06;42.53;68.87;1.52;188.46;True
29.17;44.85;55.02;3.29;104.23;False
25.09;23.46;50.31;3.21;101.15;False
52.91;85.69;96.72;3.23;175.15;True
54.04;31.75;77.62;4.07;179.72;False
74.15;30.72;62.66;2.89;123.71;False
38.07;71.38;65.19;4.41;105.89;False
50.47;52.53;76.11;3.17;141.23;False
74.21;71.40;63.87;1.09;192.25;True
56.74;20.28;102.76;0.88;167.54;True
60.57;44.81;56.27;3.02;131.13;False
15.14;46.85;27.37;1.37;93.86;False
30.16;28.97;59.66;2.47;103.16;False
36.91;97.39;79.78;8.45;280.54;False
31.49;57.35;88.33;3.79;164.97;False
45.53;31.64;78.25;3.29;118.27;False
45.46;55.66;76.44;2.03;160.78;True
68.88;24.79;8.96;3.35;96.06;False
70.14;44.29;74.76;3.26;153.11;True
50.81;43.46;61.25;5.40;110.44;False
18.83;5.04;32.00;2.74;79.72;False
56.25;50.09;82.36;3.59;174.01;True
17.77;32.26;49.20;2.08;83.66;False
42.48;50.28;27.13;2.88;135.04;False
41.36;;63.25;3.39;152.90;True
63.65;49.05;35.52;0.54;147.18;False
44.99;37.57;72.85;1.87;150.74;False
46.30;3.34;59.17;3.76;101.78;False
68.14;43.27;43.13;2.66;134.09;True
15.91;66.30;72.13;2.84;127.13;False
68.42;-14.90;18.64;3.40;90.18;False
77.74;54.41;62.40;2.67;164.78;True
45.86;46.08;104.10;0.93;163.87;True
45.61;33.99;70.07;2.69;139.00;False
44.47;38.75;58.41;4.07;145.02;False
27.61;62.52;78.81;3.60;114.76;False
12.90;37.21;19.44;0.78;;False
36.16;47.92;81.37;2.88;106.33;False
12.56;99.93;125.34;8.13;289.66;False
59.03;71.82;37.99;4.95;186.58;True
58.32;29.11;114.37;2.50;171.98;True
54.55;45.26;5.58;1.81;99.36;False
7.23;61.42;123.27;2.25;183.24;True
52.74;40.77;79.81;2.29;151.19;True
66.79;40.09;64.32;3.90;190.63;True
47.67;10.16;32.52;3.08;95.91;False
14.20;39.33;57.51;2.45;111.97;False
38.52;38.90;-4.52;1.14;125.26;False
72.08;41.93;56.16;2.29;156.01;False
76.39;34.58;46.05;3.12;163.15;True
76.86;43.40;65.50;2.12;157.16;True
45.36;70.11;47.32;2.34;154.34;True
27.94;43.47;67.41;1.68;92.71;False
35.75;50.57;62.87;3.99;147.89;False
69.57;27.28;39.38;0.34;145.92;False
33.72;26.03;52.01;4.85;93.16;False
-27.97;37.96;44.97;3.64;78.13;False
22.31;50.85;56.23;1.69;87.79;False
31.83;30.86;60.94;2.74;135.45;False
-3.96;125.94;158.46;7.21;173.06;False
71.64;8.20;61.89;3.51;112.22;False
99.05;22.40;54.84;2.54;177.27;True
92.49;20.24;14.58;5.42;138.60;False
73.92;49.13;14.42;1.88;141.23;False
80.18;46.24;67.86;3.69;130.34;False
17.30;31.15;53.53;4.20;58.76;False
50.78;11.48;65.72;1.72;136.73;False
71.87;33.53;19.39;3.01;87.53;False
89.38;60.78;81.23;2.99;209.49;True
33.01;38.05;41.55;4.03;72.78;False
63.65;33.89;29.24;3.85;172.60;False
16.46;45.67;43.54;;102.02;False
17.02;19.18;48.48;2.28;40.46;False
33.28;14.09;21.51;2.77;73.73;False
23.31;24.35;41.87;2.11;49.56;False
52.26;54.69;32.90;1.98;128.98;False
58.25;66.64;33.41;3.08;141.59;False
103.43;65.00;84.88;4.42;186.50;True
;41.57;60.69;2.77;174.24;True
16.58;54.42;72.45;3.56;131.81;False
68.42;31.72;56.88;0.52;162.76;True
62.56;20.07;78.66;2.73;147.42;False
49.91;19.06;25.54;3.15;102.49;False
18.41;24.77;59.89;3.64;88.92;False
6.32;32.35;37.95;4.20;63.24;False
39.38;42.14;64.03;2.01;120.82;False
47.40;55.50;29.27;4.65;95.99;False
85.34;25.34;38.32;3.10;132.32;False
37.83;48.52;58.15;2.20;145.70;False
61.65;18.77;71.23;2.40;104.30;False
50.11;32.72;49.55;1.69;110.62;False
50.32;65.32;7.96;2.82;84.88;False
